Title,Link,Maddy Rating,Hunter Rating,Date Cooked,Notes,,
"Tomato-Green Bean Salad With Chickpeas, Feta and Dill",https://cooking.nytimes.com/recipes/1022380-tomato-green-bean-salad-with-chickpeas-feta-and-dill?algo=bandit-recipe-decay-240-alpha-0.05&alpha=0.05&fellback=false&imp_id=923615320&pool=cooking-bandit-recipes-200-ls&req_id=676753165&surface=cooking-web-trending&variant=1_bandit_recipe_pool_200&action=click&module=TrendingCarousel&pgType=front-page&region=Trending%20Carousel%20Suggestions&rank=0,5,,,,,
Caramelized Corn and Asparagus Pasta With Ricotta,https://cooking.nytimes.com/recipes/1021161-caramelized-corn-and-asparagus-pasta-with-ricotta?action=click&module=Collection%20Page%20Recipe%20Card&region=Our%20Best%20Asparagus%20Recipes&pgType=collection&rank=22,5,,,,,
blueberry muffins,https://cooking.nytimes.com/recipes/2868-jordan-marshs-blueberry-muffins?smid=ck-recipe-iOS-share,,,,,,
Zucchini Salad with Mint and Feta,https://cooking.nytimes.com/recipes/1024472-zucchini-salad-with-sizzled-mint-and-feta?action=click&module=Collection%20Band%20Recipe%20Card&region=Vegetarian%20Potluck%20Recipes&pgType=supercollection&rank=4,,,,,,
Bulgogi Style tofu,https://cooking.nytimes.com/recipes/1023313-bulgogi-style-tofu?action=click&module=Collection%20Band%20Recipe%20Card&region=Vegetarian%20Potluck%20Recipes&pgType=supercollection&rank=3,,,,,,
mediterranean garlic scape pasta,https://www.alstedefarms.com/recipe/mediterranean-garlic-scape-pasta/,,,,,,
Corn and Miso Pasta Salad,https://cooking.nytimes.com/recipes/1024306-corn-and-miso-pasta-salad,,,,,,
Spiced Eggplant and Tomatoes With Runny Eggs,https://cooking.nytimes.com/recipes/1022511-spiced-eggplant-and-tomatoes-with-runny-eggs,,,,,,
Pozole,https://www.ranchogordo.com/blogs/recipes/bean-and-vegetable-posole,,,,,,
honey glazed mushrooms with udon,https://cooking.nytimes.com/recipes/1022833-honey-glazed-mushrooms-with-udon,,,,,,
Spanikopita Orzo,https://cooking.nytimes.com/recipes/1021485-one-pan-orzo-with-spinach-and-feta,,,,,,
Soy braised tofu with bok choy,https://cooking.nytimes.com/recipes/1023301-soy-braised-tofu-with-bok-choy,,,,,,
Greens and beans alla vodka,https://cooking.nytimes.com/recipes/1023024-beans-and-greens-alla-vodka,,,,,,
coop squash soup,https://substack.com/redirect/58fc7434-c1f1-450f-9a52-a2d9ed4a47cb?j=eyJ1IjoiMXVhNXMifQ.0pp_IvdDDSiWmXFy4spZiGg8_IwwIj1Ui2jTpFKy6AQ,,,,,,
Mattar paneer peas,https://cooking.nytimes.com/recipes/1023017-mattar-paneer-peas-and-paneer-in-spiced-tomato-gravy,,,,,,
BBQ Salmon Mango Salsa,https://pinchofyum.com/bbq-salmon-mango-salsa,,,,,,
Dumping Tomato Salad,https://cooking.nytimes.com/recipes/1024075-dumpling-tomato-salad-with-chile-crisp-vinaigrette,,,,,,
Kung Pao Tofu,https://cooking.nytimes.com/recipes/1025397-kung-pao-tofu,,,,,,
Tumeric-ginger Salmon,https://cooking.nytimes.com/recipes/1025771-turmeric-ginger-salmon,,,,,,
Lentil Tomato soup,https://cooking.nytimes.com/recipes/1025225-lentil-tomato-soup?smid=ck-recipe-iOS-share,,,,,,
Cheesy Green Chile Bean Bake,https://cooking.nytimes.com/recipes/1025014-cheesy-green-chile-bean-bake?smid=ck-recipe-iOS-share,,,,,,
Corn Chowder,https://cooking.nytimes.com/recipes/8904-basic-corn-chowder?smid=ck-recipe-iOS-share,,,,,,
Squash Soup With Lentils,https://substack.com/redirect/58fc7434-c1f1-450f-9a52-a2d9ed4a47cb?j=eyJ1IjoiMXVhNXMifQ.0pp_IvdDDSiWmXFy4spZiGg8_IwwIj1Ui2jTpFKy6AQ,,,,,,
Crispy Gnocchi with Sausage and Broccoli,https://cooking.nytimes.com/recipes/1025733-crispy-gnocchi-with-sausage-and-broccoli,,,,,,
,,,,,,,
,https://cooking.nytimes.com/recipes/1023528-butternut-squash-pasta-with-brown-butter-bread-crumbs,,,,,,
,https://cooking.nytimes.com/recipes/1024427-vegetable-soup,,,,,,
,https://cooking.nytimes.com/recipes/1021511-brown-butter-lentil-and-sweet-potato-salad?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/1025400-lemongrass-tofu-and-broccoli,,,,,,
,https://cooking.nytimes.com/recipes/1024236-masala-black-eyed-peas,,,,,,
